x,OC,CS,NC
7.94,580.27,649.53,655.01
7.95,580.66,649.53,654.98
7.96,581.05,649.52,654.95
7.97,581.44,649.52,654.92
7.98,581.82,649.52,654.88
7.99,582.21,649.51,654.85
8,582.59,649.51,654.82
8.01,582.97,649.51,654.79
8.02,583.35,649.5,654.76
8.03,583.72,649.5,654.73
8.04,584.09,649.5,654.7
8.05,584.47,649.49,654.67
8.06,584.84,649.49,654.64
8.07,585.2,649.49,654.61
8.08,585.57,649.49,654.59
8.09,585.93,649.48,654.56
8.1,586.29,649.48,654.53
8.11,586.65,649.48,654.5
8.12,587.01,649.47,654.48
8.13,587.36,649.47,654.45
8.14,587.71,649.47,654.42
8.15,588.07,649.46,654.4
8.16,588.41,649.46,654.37
8.17,588.76,649.46,654.34
8.18,589.1,649.45,654.32
8.19,589.45,649.45,654.29
8.2,589.79,649.45,654.27
8.21,590.12,649.45,654.24
8.22,590.46,649.44,654.22
8.23,590.79,649.44,654.2
8.24,591.12,649.44,654.17
8.25,591.45,649.43,654.15
8.26,591.78,649.43,654.12
8.27,592.1,649.43,654.1
8.28,592.42,649.42,654.08
8.29,592.74,649.42,654.06
8.3,593.06,649.42,654.03
8.31,593.38,649.41,654.01
8.32,593.69,649.41,653.99
8.33,594,649.41,653.97
8.34,594.31,649.41,653.95
8.35,594.61,649.4,653.93
8.36,594.92,649.4,653.9
8.37,595.22,649.4,653.88
8.38,595.52,649.39,653.86
8.39,595.81,649.39,653.84
8.4,596.11,649.39,653.82
8.41,596.4,649.38,653.8
8.42,596.69,649.38,653.78
8.43,596.98,649.38,653.76
8.44,597.26,649.37,653.74
8.45,597.54,649.37,653.72
8.46,597.82,649.37,653.7
8.47,598.1,649.37,653.69
8.48,598.38,649.36,653.67
8.49,598.65,649.36,653.65
8.5,598.92,649.36,653.63
8.51,599.19,649.35,653.61
8.52,599.45,649.35,653.59
8.53,599.72,649.35,653.58
8.54,599.98,649.34,653.56
8.55,600.24,649.34,653.54
8.56,600.49,649.34,653.52
8.57,600.74,649.33,653.51
8.58,600.99,649.33,653.49
8.59,601.24,649.33,653.47
8.6,601.49,649.33,653.46
8.61,601.73,649.32,653.44
8.62,601.97,649.32,653.42
8.63,602.21,649.32,653.41
8.64,602.44,649.31,653.39
8.65,602.68,649.31,653.37
8.66,602.91,649.31,653.36
8.67,603.13,649.3,653.34
8.68,603.36,649.3,653.33
